Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
53046493,[3.1] Pivotal Tracker Velocity Review,"",3,"Sep 23, 2013","Oct 20, 2013",release,,unstarted,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046493
53046495,Peer Review,iteration,3,"Sep 23, 2013","Oct 20, 2013",feature,2,unstarted,"Jan 15, 2013",,,Carlos,,"Full Description of the Peer Review Process

https://docs.google.com/document/d/1FvTSXVRmJD_TdatutzI4NfvlgItXy1nQUQCcEALLCY0/edit?usp=sharing",http://www.pivotaltracker.com/story/show/53046495
53046501,Users should be able to find contact information for support.,base feature,3,"Sep 23, 2013","Oct 20, 2013",feature,1,unstarted,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046501
53046503,[3.2],"",3,"Sep 23, 2013","Oct 20, 2013",release,,unstarted,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046503
53046505,Error Handling,base feature,3,"Sep 23, 2013","Oct 20, 2013",feature,2,unstarted,"Jan 22, 2013",,,Carlos,,How errors are displayed to users and logged for admin review.,http://www.pivotaltracker.com/story/show/53046505
53046513,Users should be able to find help in documentation.,base feature,3,"Sep 23, 2013","Oct 20, 2013",feature,2,unstarted,"Jan 15, 2013",,,Carlos,,At minimum a FAQ section,http://www.pivotaltracker.com/story/show/53046513
53046515,Users should be able to find and read terms and policies.,base feature,3,"Sep 23, 2013","Oct 20, 2013",feature,1,unstarted,"Jan 15, 2013",,,Carlos,,Find a boilerplate Terms and Services agreement and modify it to your needs.,http://www.pivotaltracker.com/story/show/53046515
53046517,Users should be able to find copyright information.,base feature,3,"Sep 23, 2013","Oct 20, 2013",feature,1,unstarted,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046517
53046519,Minified Scripts,mobile feature,3,"Sep 23, 2013","Oct 20, 2013",feature,1,unstarted,"Jan 22, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046519
53046521,Weekly Self Audit,"",3,"Sep 23, 2013","Oct 20, 2013",feature,1,unstarted,"Jan 15, 2013",,,Carlos,,"Review your code, designs, and other materials created to ensure they are commented, well formatted, and developed to a a standard that represents your personal best work. 

You will be handing off your project to other developers for review and you should be confident that your work will stand up to their scrutiny in addition to the rubric.",http://www.pivotaltracker.com/story/show/53046521
53046523,[4.1] Pivotal Tracker Velocity Review,"",3,"Sep 23, 2013","Oct 20, 2013",release,,unstarted,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046523
53046525,Peer Review,iteration,3,"Sep 23, 2013","Oct 20, 2013",feature,2,unstarted,"Jan 15, 2013",,,Carlos,,"Full Description of the Peer Review Process

https://docs.google.com/document/d/1FvTSXVRmJD_TdatutzI4NfvlgItXy1nQUQCcEALLCY0/edit?usp=sharing",http://www.pivotaltracker.com/story/show/53046525
53046527,Video Walk through,base feature,3,"Sep 23, 2013","Oct 20, 2013",feature,3,unstarted,"Jan 22, 2013",,,Carlos,,Create an well edited 2 min. video walk through of your app. Draw upon your skills in previous classes.,http://www.pivotaltracker.com/story/show/53046527
53046529,Final Bug Stomping,base feature,4,"Oct 21, 2013","Nov 17, 2013",feature,2,unstarted,"Jan 22, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046529
